***************************
 LISFLOOD-FP version 5.99.0
***************************

 This is a modified version 5.9 including Basic Model Interface (BMI) compatibility

***************************

 The model needs therefore be executed accordingly!

***************************

Loading parameters... 
Using acceleration formulation for floodplain flow
Using acceleration formulation for floodplain flow
Reading parameters done.


Start Date: 9/8/2026 
Start Time: 17:10:41 


Loading DEM:	mahanadi.asc
1312x973
BL corner	(440847.597798,2130377.223441)
NODATA_value	-9999.000000
Done.

Loading channel information:	mahanadi.river
1 Channel Segment
377 points in channel segment 0
Xsec  152	w=2788.690 n=0.035 z=214.339
Xsec  153	w=2795.970 n=0.035 z=213.432
Xsec  154	w=2803.210 n=0.035 z=212.582
Xsec  155	w=2810.430 n=0.035 z=212.108
Xsec  156	w=2817.630 n=0.035 z=211.574
Xsec  157	w=2824.790 n=0.035 z=210.795
Xsec  158	w=2831.930 n=0.035 z=209.826
Xsec  159	w=2839.040 n=0.035 z=209.053
Xsec  160	w=2846.120 n=0.035 z=208.313
Xsec  161	w=2853.180 n=0.035 z=207.758
Xsec  162	w=2860.210 n=0.035 z=207.005
Xsec  163	w=2867.220 n=0.035 z=206.045
Xsec  164	w=2874.200 n=0.035 z=205.431
Xsec  165	w=2881.160 n=0.035 z=204.721
Xsec  166	w=2888.090 n=0.035 z=203.935
Xsec  167	w=2894.990 n=0.035 z=203.143
Xsec  168	w=2901.870 n=0.035 z=202.197
Xsec  169	w=2908.730 n=0.035 z=201.506
Xsec  170	w=2915.560 n=0.035 z=201.040
Xsec  171	w=2922.370 n=0.035 z=200.271
Xsec  172	w=2929.150 n=0.035 z=199.484
Xsec  173	w=2935.910 n=0.035 z=198.679
Xsec  174	w=2942.650 n=0.035 z=197.884
Xsec  175	w=2949.360 n=0.035 z=197.085
Xsec  176	w=2956.060 n=0.035 z=196.141
Xsec  177	w=2962.730 n=0.035 z=195.061
Xsec  178	w=2969.370 n=0.035 z=194.207
Xsec  179	w=2976.000 n=0.035 z=193.517
Xsec  180	w=2982.600 n=0.035 z=192.905
Xsec  181	w=2989.180 n=0.035 z=192.313
Xsec  182	w=2995.740 n=0.035 z=191.821
Xsec  183	w=3002.280 n=0.035 z=191.472
Xsec  184	w=3008.790 n=0.035 z=191.232
Xsec  185	w=3015.290 n=0.035 z=191.055
Xsec  186	w=3021.760 n=0.035 z=190.900
Xsec  187	w=3028.210 n=0.035 z=190.812
Xsec  188	w=3034.650 n=0.035 z=190.739
Xsec  189	w=3041.060 n=0.035 z=190.669
Xsec  190	w=3047.450 n=0.035 z=190.597
Xsec  191	w=3053.820 n=0.035 z=190.526
Xsec  192	w=3060.180 n=0.035 z=190.454
Xsec  193	w=3066.510 n=0.035 z=190.429
Xsec  194	w=3072.820 n=0.035 z=190.426
Xsec  195	w=3079.110 n=0.035 z=190.423
Xsec  196	w=3085.390 n=0.035 z=190.420
Xsec  197	w=3091.640 n=0.035 z=190.418
Xsec  198	w=3097.880 n=0.035 z=190.416
Xsec  199	w=3104.100 n=0.035 z=190.414
Xsec  200	w=3110.300 n=0.035 z=190.411
Xsec  201	w=3116.480 n=0.035 z=190.407
Xsec  202	w=3122.640 n=0.035 z=190.403
Xsec  203	w=3128.780 n=0.035 z=190.398
Xsec  204	w=3134.910 n=0.035 z=190.395
